stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
delta_pp:1,-1.1395,2.481,-5.1126,3.1237,-5.5613,4.1089,0.0072,0.106,3.0,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-3.8927,2.9036,False
sens_diff:1,-0.0017,0.0392,-0.0588,0.0674,-0.0667,0.083,-0.0009,1.0,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0129,0.0239,-0.0505,0.0277,-0.0569,0.0375,0.0002,0.122,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.0385,0.0202,False
delta_pp:2,-0.8641,1.7988,-4.0024,1.9521,-4.4791,2.4889,0.0008,0.288,3.0,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-1.5173,1.7696,False
sens_diff:2,-0.0306,0.0283,-0.0708,0.0196,-0.0784,0.0344,-0.002,0.444,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0052,0.0176,-0.0358,0.0221,-0.0409,0.0256,0.0003,0.802,0.05,equivalent,social,Qwen/Qwen2.5-7B-Instruct,b,0.0,-0.013,0.0192,False
delta_pp:1,-6.3815,2.7643,-10.6044,-1.6301,-11.5795,-0.7218,0.0132,0.0,3.0,non-equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-3.8927,2.9036,True
sens_diff:1,0.0072,0.0089,-0.0069,0.0216,-0.0115,0.0245,0.0002,0.858,0.05,equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0742,0.0309,-0.1212,-0.0209,-0.1317,-0.0102,0.0001,0.0,0.05,non-equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.0385,0.0202,True
delta_pp:2,-0.1131,1.3814,-2.5732,1.9735,-2.9577,2.366,-0.0269,0.996,3.0,equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-1.5173,1.7696,False
sens_diff:2,0.0191,0.008,0.0065,0.0324,0.0041,0.0341,-0.0012,0.1,0.05,equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0039,0.0156,-0.0314,0.02,-0.0362,0.0233,-0.0001,0.984,0.05,equivalent,social,ibm-granite/granite-3.3-8b-instruct,b,0.0,-0.013,0.0192,False
delta_pp:1,-6.609,2.5435,-10.5826,-1.9353,-11.0646,-0.8872,-0.0215,0.0,3.0,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-3.8927,2.9036,True
sens_diff:1,-0.0195,0.0171,-0.0481,0.0077,-0.0539,0.0136,0.0009,0.256,0.05,equivalent,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0729,0.0285,-0.1169,-0.0199,-0.124,-0.0089,-0.0004,0.0,0.05,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.0385,0.0202,True
delta_pp:2,-1.1462,2.0146,-4.5743,2.2856,-5.1863,2.7755,-0.0233,0.332,3.0,inconclusive,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-1.5173,1.7696,False
sens_diff:2,0.0083,0.0142,-0.0158,0.0294,-0.0218,0.0339,-0.0001,0.908,0.05,equivalent,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0143,0.0233,-0.0534,0.0257,-0.0615,0.0327,-0.0002,0.442,0.05,inconclusive,social,microsoft/Phi-3.5-mini-instruct,b,0.0,-0.013,0.0192,True
delta_pp:1,-7.5098,2.1062,-10.7372,-3.6671,-11.4724,-3.1509,-0.0043,0.0,3.0,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-3.8927,2.9036,True
sens_diff:1,0.0087,0.0045,0.0008,0.0155,-0.0014,0.0162,0.0,0.226,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0874,0.0238,-0.1238,-0.0433,-0.1314,-0.0382,-0.0001,0.0,0.05,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.0385,0.0202,True
delta_pp:2,-1.1982,1.5296,-3.7283,1.2194,-4.5218,1.6118,0.0097,0.204,3.0,inconclusive,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-1.5173,1.7696,False
sens_diff:2,0.0129,0.0044,0.0043,0.0187,0.0023,0.0194,-0.0008,0.03,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0154,0.0173,-0.0445,0.0123,-0.0526,0.0168,0.0002,0.226,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,b,0.0,-0.013,0.0192,True
delta_pp:1,-3.0121,1.8858,-5.8112,0.5615,-6.4431,1.0294,0.0416,0.0,3.0,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-3.8927,2.9036,False
sens_diff:1,-0.026,0.0346,-0.0771,0.0336,-0.0855,0.0436,0.0011,0.646,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0306,0.0183,-0.0577,0.003,-0.0613,0.0092,0.0003,0.0,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.0385,0.0202,False
delta_pp:2,1.6766,1.1058,-0.2219,3.4502,-0.5218,3.6958,0.0161,0.01,3.0,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-1.5173,1.7696,False
sens_diff:2,0.0631,0.0333,0.0095,0.1197,0.0005,0.1274,-0.0025,0.04,0.05,non-equivalent,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.0822,0.1169,False
fpr_diff:2,0.0097,0.0103,-0.0076,0.0257,-0.0111,0.0291,0.0006,0.48,0.05,equivalent,social,Qwen/Qwen2.5-7B-Instruct,c,0.0,-0.013,0.0192,False
delta_pp:1,-4.713,2.5518,-8.6039,-0.1899,-9.1528,0.3736,0.0415,0.0,3.0,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-3.8927,2.9036,True
sens_diff:1,0.009,0.025,-0.0311,0.0489,-0.0389,0.0571,-0.0003,0.966,0.05,equivalent,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0553,0.0268,-0.0945,-0.0063,-0.1034,0.0005,0.0005,0.0,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.0385,0.0202,True
delta_pp:2,1.2429,1.8544,-1.8746,4.1845,-2.361,4.6211,0.0687,0.304,3.0,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-1.5173,1.7696,False
sens_diff:2,0.0497,0.0249,0.0079,0.0875,0.0025,0.0955,-0.0009,0.02,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.0822,0.1169,False
fpr_diff:2,0.007,0.0198,-0.0251,0.0381,-0.0304,0.0448,0.0009,0.938,0.05,equivalent,social,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.013,0.0192,False
delta_pp:1,-5.5474,2.7846,-9.7139,-0.5353,-10.2986,0.1089,0.0228,0.0,3.0,inconclusive,social,microsoft/Phi-3.5-mini-instruct,c,0.0,-3.8927,2.9036,True
